product_id,avg_price,purchase_count
11fd9d7ba552e1d28872e008acf1e050,136.74,49
130482add9fd75ccb6c57ba007694a2d,105,49
5b226d7c52f86ac72457617f78cff95d,60.28,49
b1d207586fca400a2370d50a9ba1da98,149,48
c1f5307decb89342351bec53668cffd9,29.89,48
7fab1a1472fdd934397068931f63f3ca,70.66,48
f1fe595ee7ef768b41bd9b246d13432d,99.9,48
bb42f37fc3d9130e4a4339d24a47dd7c,44.9,48
e251ebd2858be1aa7d9b2087a6992580,116.5,48
8aa6223e400af9c97b07c75993142721,175.74,48
db5efde3ad0cc579b130d71c4b2db522,196.37,48
4aa6014eceb682077f9dc4bffebc05b0,291.19,47
aa280035c50ba62c746480a59045eec4,35.53,47
569ffd16f8032478cbeb9800f2e94ba0,16.9,47
fe01b643060a6446e59f58e3021e66b3,140.4,46
bdc3291ab242ec1effc8eb0987850268,27.85,46
cc971e0365873137b8bef2ebad633e6f,232.82,46
1bfb290d7273a442c874dbe74b4abae6,77.24,46
8317b177579dd27ff068b83205e2169b,180.74,46
8562e2c780a345b609e1b802d7e3e4ae,79.9,46
962a6951154f98f2c8e9a5b8b2bcf4a9,75.21,46
62d8daeee0db3a60c234c2d1bfd10651,26.86,46
a59fb60fddcc72a9878b7ed5cb69d8e4,15.79,45
704ef63ad0ac345842ea734060a83db2,75.79,45
f819f0c84a64f02d3a5606ca95edd272,644.99,45
d2085f7e0f9533605386960fc7e987ec,12.82,45
036734b5a58d5d4f46b0616ddc047ced,35.81,45
7f72a8900b3d2fc8fa2635b7836d6e6e,73.9,45
35ebf08a93899d44e756809e11b14754,16.37,45
566a4f2c4385f36d15c00dfcaae132d1,21.9,45
583f158587cdecda3e8bdea694021e39,45.33,45
e9def91e99c8ecb7c5cef5e31506a056,72.21,45
3b0f7951038b105522c2d566b54421f7,32.63,45
d5b703c271f43f9c588a6f512a00f77e,34.81,44
63de2743d05ab59d85caa49e49459ac1,17.54,44
7564c1759c04fc0a38f2aa84f7a370ee,44.16,44
b1acb7e8152c90c9619897753a75c973,34.99,44
7340a3839a1de1e99d149b8cf052a2ec,69.77,44
3e5201fe0d1ba474d9b90152c83c706c,122.31,44
0a4093a4af429dc0a9334300e5c13ae5,29.9,44
5d6bea33648f018dbb563f3a2fab09f3,150.22,44
3db75f31b76375c502f64d550dcd1166,31.9,44
c6ea63369936552872ae890c82175b4b,200.04,44
173e9fe34bfe97f3a5e6dc57fe897b74,57.82,43
9ad75bd7267e5c724cb42c71ac56ca72,103.85,43
dd0dcee76f9c12fff4bc0eb641d57c7f,23.57,43
3cb39171fd36c50097f2dedbbe0dfe6e,29.62,43
57e089e3103f5cda6a4ce23b77399bdb,52.13,43
a4aa7c1427c31344e5f7cc3d839fe562,101.88,42
31a2f42a87890f87d77daebdfabc182e,146.46,42
f8b624d4e475bb8d1bddf1b65c6a64f6,179,42
82e4ad16521ca131d95e198d507db370,18.76,42
177d3d5bb9d4d29222a222e3b3554f41,113.92,42
349ce46a0e2e20054aa9d80c48af8816,150.47,42
2ff995aead9c63a1f37a07b3664ead37,74.16,42
727a46f0b58a9ef165af9f7ebcfebfa9,19.26,42
b8b426747049f2d3d6e00b486d47dedb,97.9,42
dbb4ce89c8ed5fb6fd901e2e51093179,86.28,42
e1da6ab77f4859eb17950e5df1c0f815,48.73,41
e67307ff0f15ade43fcb6e670be7a74c,18.87,41
a5341e3f8155dbb3e62323d3ea289729,88.94,41
c20a3f598c16d77249da67e81caa8317,33.54,41
73bcea88583002fe12b7399af4ae60da,134.13,41
7d50930301709838d8e90dcac5cfaa84,59.9,41
69455f41626a745aea9ee9164cb9eafd,162.26,41
d04bbac48960ecb7ea311b00ca6e1cb7,104.71,41
50fd2b788dc166edd20512370dac54df,21.82,40
aadff88486740e0b0ebe2be6c09476ae,29.9,40
7c4a8bec217df1de0df2b5aaf8175b65,17.8,40
1ec486885049bbb9b79351d150ed18c4,49.9,40
65266b2da20d04dbe00c5c2d3bb7859e,21.8,40
027cdd14a677a5834bc67a9789db5021,87.69,40
fe6a9515d655fa7936b8a7c841039f34,250.4,40
952670bc019a73f0933157ec82ff6e4f,202.2,40
bdb4be6ce2f7f2b5be0a16088028c7fc,85,40
921d31a1daa51460b7a95ea5f3ab64d5,89.89,40
a298a105818dce6878b787e4af6cff7d,79.9,40
9d8a0e115e802d845b4ce1eb794d1260,120,40
a6ad77b15e566298a4e8ee2011ab1255,29.64,40
6803077179d24889430188e03fafd31a,19.67,40
dc52f0f5d3ec37a93eaf956cde4e5d2c,49,39
f7f59e6186e10983a061ac7bdb3494d6,34.9,39
83b00325c13c44245b2c3a2befa62a0e,157.94,39
553e0e7590d3116a072507a3635d2877,46.48,39
53ea9da485f6aed8a6f03a85831fe021,257.15,39
dc404a1496a08f9f5540c8b5d4b92925,306.7,39
af2d506fb01b724e03591349ad36b67e,48.9,38
060c17562f97e5bb60bc0dfa4dd5b3f2,24.94,38
57f2bc497c1a3ebe41ba7a06d78ed159,54.97,38
1600dcf1cea8c0c83702e07b577ab231,43.71,38
c7b3cf9de7be95b3e09e7a63315685eb,82.41,38
25c38557cf793876c5abdd5931f922db,1023.88,38
e5ae72c62ebfa708624f5029d609b160,62.38,38
98d61056e0568ba048e5d78038790e77,167.22,38
c211ff3068fcd2f8898192976d8b3a32,24.9,38
08a58dc963320d6073623382b9ceb920,128.46,37
3225c54bb2785c33f49f50398fcdb88c,279.21,37
474bb6b54fc608ca71059a6c4f7ecda3,21.66,37
67bd616e1ba0d3d3e8545f3113b0140d,15.03,37
6109d0cae3bcb57d579bc0fab6e61814,82.33,37
10717ff440b2320081989126e858b220,139.19,37
87a71ae93900ab55fcf685c8040769b3,12.9,37
216bb0e0cd43ffd832e0973d35e0377e,45.43,37
593236d0ff46b4299b4787fb8d43f7f0,74.11,37
9bb8ca338e5588c361e34eae02e8fad6,63.68,37
ca5c923962558430573f83661dbe36d6,108.22,37
fb7a100ec8c7b34f60cec22b1a9a10e0,49.99,36
be837f2e0152a208d4386f4126d5bd7c,32.82,36
87283a98b24f9f1ac3a31b631073cf47,49.9,36
41db6d8062fcd38410c699743ccc0265,14.95,36
380b4664ba5bb18cc9db78ee6bac3558,30.11,36
e5eadf9be70a4a9fa514019542fc330a,69.9,36
186fe07c8b8005ec6a498587ffbc1352,29,36
909b87db6cb3a7ab26bd03cc59860136,39.97,36
a237de12bdf0bfe4fe220bae65a89731,38.67,36
94475071013412139f862c0bd7e3bb37,41.54,36
4cd6ba4ea3112de8fc238307c4dc6307,39.34,36
c92f0e7b9d49a9543558d6532772441b,141.24,36
dd6a505f83dd3c6326aa9856519e0978,49.79,36
1dec4c88c685d5a07bf01dcb0f8bf9f8,570.43,35
0cf41187284d7f099adc8415a743ebbd,35.9,35
c2ece64199af7a53793ed9612a89a8cd,83.08,35
6cc44821f36f3156c782da72dd634e47,100.19,35
f646af315b0f3a597f69213537ca2199,49.9,35
4ce9ab528124f89e091b17d11aa2e97c,54.76,35
e2e426d1332240070b0a836a854d057b,37.81,35
a39cc58c1b5926b6f9f378daa89f1315,150.28,35
16679d68bdbed3fb97af806424d7f2b7,27.71,35
d6160fb7873f184099d9bc95e30376af,1397.12,35
93a12c289ca2b78e7069e469f5053ef2,136.1,35
b192be433004cc1f10b467c0e9ea309b,186.94,35
cb81df0e3ccece253557f2a07df4727e,45.09,35
dfb97c88e066dc22165f31648efe1312,139,35
5328338cfaa16ba10561cd970c73ca11,200.11,35
