customer_city,avg_products
"sao luis de montes belos",1.25
"santa vitoria do palmar",1.25
"vila valerio",1.25
"capao do leao",1.25
"salto do jacui",1.25
"minas novas",1.25
arealva,1.25
jaguarao,1.25
"santa maria de itabira",1.25
"rio do pires",1.25
cacu,1.25
parambu,1.25
papanduva,1.25
"sao miguel do guapore",1.25
sanclerlandia,1.25
"manoel ribas",1.25
baependi,1.25
iapu,1.25
"sao francisco do sul",1.24
caraguatatuba,1.24
embu-guacu,1.24
seropedica,1.24
paranavai,1.24
catalao,1.24
vassouras,1.24
caceres,1.24
torres,1.24
"santa cruz do capibaribe",1.23
"rio do sul",1.23
colombo,1.23
maracaju,1.23
criciuma,1.23
camacari,1.23
"matias barbosa",1.23
"sapucaia do sul",1.23
"santo antonio de padua",1.23
alfenas,1.23
tupaciguara,1.23
"santo angelo",1.22
manhuacu,1.22
icem,1.22
ourinhos,1.22
birigui,1.22
"balneario picarras",1.22
paranagua,1.22
itapetininga,1.22
mirai,1.22
piranguinho,1.22
"bom jesus da lapa",1.22
paracatu,1.22
potirendaba,1.22
ituiutaba,1.22
matinhos,1.22
"porto ferreira",1.22
patrocinio,1.22
"sao joaquim",1.22
russas,1.22
pomerode,1.22
queimados,1.22
vinhedo,1.22
dourado,1.22
"artur nogueira",1.22
chapeco,1.22
sobradinho,1.22
"santa rita do passa quatro",1.22
"pedro de toledo",1.22
"monte azul paulista",1.21
arapongas,1.21
triunfo,1.21
"novo hamburgo",1.21
divinopolis,1.21
cascavel,1.21
"serra negra",1.21
cruzeiro,1.21
araras,1.21
piraquara,1.21
ilheus,1.21
"sao joaquim da barra",1.21
maracanau,1.21
socorro,1.21
guaira,1.21
votuporanga,1.21
xanxere,1.21
paraty,1.21
teutonia,1.21
juara,1.20
severinia,1.20
itai,1.20
"conceicao do rio verde",1.20
montanha,1.20
"santo antonio do jardim",1.20
mineiros,1.20
"feira nova",1.20
buriticupu,1.20
assai,1.20
iguatu,1.20
ladario,1.20
cuiaba,1.20
jesuania,1.20
"capitao leonidas marques",1.20
capinzal,1.20
palmas,1.20
cambuquira,1.20
duartina,1.20
"sao miguel do oeste",1.20
"colonia vitoria",1.20
"braco do norte",1.20
fartura,1.20
"rio casca",1.20
rafard,1.20
urupes,1.20
"ribeirao das neves",1.20
bananeiras,1.20
caldas,1.20
mage,1.20
"barra velha",1.20
araucaria,1.20
palhoca,1.20
"livramento de nossa senhora",1.20
taio,1.20
"brejo santo",1.20
"santo estevao",1.20
"miguel calmon",1.20
bataguassu,1.20
"sao romao",1.20
buenopolis,1.20
"elias fausto",1.20
biritiba-mirim,1.20
"sao jose do ouro",1.20
castilho,1.20
salesopolis,1.20
araxa,1.20
"santo antonio do descoberto",1.20
"aguas formosas",1.20
"lagoa dourada",1.20
"vargem bonita",1.20
"conselheiro pena",1.20
"carmopolis de minas",1.20
"rio pardo de minas",1.20
pradopolis,1.20
itabira,1.20
coromandel,1.20
"carmo do cajuru",1.20
"paulo frontin",1.20
alexania,1.20
aurora,1.20
custodia,1.20
quatis,1.20
"monte aprazivel",1.20
"sao jose do cedro",1.20
"holambra ii",1.20
"santa ines",1.20
"agua branca",1.20
"otacilio costa",1.20
maracas,1.20
"aguas da prata",1.20
iepe,1.20
"dom eliseu",1.20
"santo amaro",1.20
"pedra preta",1.20
sapiranga,1.20
"marechal floriano",1.20
"diamante do norte",1.20
arapora,1.20
assis,1.20
iraquara,1.20
juquitiba,1.19
guarapuava,1.19
garanhuns,1.19
ibiruba,1.19
